iter	Passed	Remaining
0	1	154
1	2	142
2	4	137
3	5	124
4	6	126
5	8	128
6	9	128
7	10	126
8	12	123
9	13	124
10	15	121
11	16	119
12	17	116
13	18	115
14	20	113
15	21	112
16	22	110
17	23	108
18	25	107
19	26	107
20	28	106
21	29	105
22	31	104
23	32	103
24	34	102
25	35	100
26	36	98
27	38	97
28	39	96
29	40	94
30	41	93
31	43	91
32	44	90
33	45	89
34	47	87
35	48	85
36	49	84
37	51	83
38	52	82
39	53	80
40	55	79
41	55	76
42	56	75
43	58	73
44	59	72
45	60	70
46	61	69
47	62	68
48	64	66
49	65	65
50	66	64
51	67	62
52	69	61
53	70	60
54	71	58
55	72	56
56	73	55
57	74	54
58	76	53
59	77	51
60	78	50
61	80	49
62	81	47
63	82	46
64	83	45
65	85	43
66	86	42
67	87	41
68	88	39
69	90	38
70	91	37
71	92	36
72	94	34
73	95	33
74	96	32
75	97	30
76	98	29
77	100	28
78	101	26
79	102	25
80	104	24
81	105	23
82	106	21
83	107	20
84	109	19
85	110	17
86	111	16
87	112	15
88	114	14
89	115	12
90	116	11
91	117	10
92	119	8
93	120	7
94	121	6
95	122	5
96	123	3
97	125	2
98	126	1
99	127	0
